,hdim,lookback,loss,loss_adjusted,lr
0,25,0,0.6367280088541291,0.44103414921532885,1.0
1,25,0,0.6371738036235379,0.44153608956214246,0.5
2,25,0,0.6845041314769044,0.4948274307975356,0.1
3,25,0,1.3540927320373102,1.2487473003227136,0.05
4,25,2,0.6083896045314187,0.4091266674098614,1.0
5,25,2,0.6253648478984624,0.42823985609576287,0.5
6,25,2,0.7024832645172531,0.5150709439406969,0.1
7,25,2,0.992804324489947,0.8419564606174088,0.05
8,25,5,0.6284514701111727,0.43171522263266704,1.0
9,25,5,0.6337201696970431,0.43764748805806747,0.5
10,25,5,0.6919833778832275,0.5032486501404014,0.1
11,25,5,0.7842888638913921,0.6071795413017654,0.05
12,50,0,0.6087066964882598,0.40948369548132063,1.0
13,50,0,0.62554721878032,0.42844519565999717,0.5
14,50,0,0.6608553653301054,0.4682002231764618,0.1
15,50,0,0.707634211752534,0.5208706267075539,0.05
16,50,2,0.602316997139449,0.4022892460905622,1.0
17,50,2,0.6203870524703743,0.42263513272304376,0.5
18,50,2,0.6627295484845073,0.4703104501397799,0.1
19,50,2,0.6947120957092409,0.5063210360586164,0.05
20,50,5,0.5965789947474626,0.3958285715643219,1.0
21,50,5,0.6073692388435881,0.4079777918680834,0.5
22,50,5,0.6676520951654409,0.4758529664674399,0.1
23,50,5,0.6949572946497565,0.5065971165550385,0.05
24,100,0,0.5865319962719086,0.384516204876075,1.0
25,100,0,0.611700678406759,0.412854754151475,0.5
26,100,0,0.6370031539910398,0.44134394747883965,0.1
27,100,0,0.6747500900026341,0.48384491755063985,0.05
28,100,2,0.585021298785787,0.38281524274697737,1.0
29,100,2,0.5993239999808997,0.3989192962058507,0.5
30,100,2,0.6312823153508493,0.4349025983913892,0.1
31,100,2,0.6620692258616427,0.4695669632505797,0.05
32,100,5,0.5992790823502018,0.39886872142867136,1.0
33,100,5,0.6036089730590991,0.40374393978749357,0.5
34,100,5,0.6416896067062127,0.4466206350099624,0.1
35,100,5,0.6771681109731476,0.48656747592913213,0.05
